label,latitude,longitude
18th Street and Euclid Avenue,40.00687923,-105.2695902
Balch,40.00835063,-105.2675997
Biotech,40.00841941,-105.2484713
Colorado Avenue and 18th Street,40.00819219,-105.2689976
Colorado Avenue and 26th Street,40.00837808,-105.2616795
Colorado Avenue and 28th Street,40.00825622,-105.2580339
Colorado Avenue and 28th Street (Farside,40.00795037,-105.2580014
Colorado Avenue and 30th Street,40.00730731,-105.2537624
Colorado Avenue and 33rd Street,40.00732557,-105.2514149
Colorado Avenue and 35th Street,40.00730723,-105.2473591
Colorado Avenue and Folsom Street,40.00816692,-105.2649713
Colorado Avenue and Innovation,40.00759218,-105.2486741
Colorado Avenue at Folsom,40.00834405,-105.2654167
Euclid Avenue and 18th Street,40.00596918,-105.2704665
Space Science,40.00993592,-105.2453056
Sustainable Energy and Environment Labs,40.00906415,-105.2435664
