label,arrival_time,depart_time
Euclid Avenue and 18th Street,07:11:19,07:11:19
Euclid Avenue and 18th Street,07:27:12,07:27:12
Colorado Avenue and 18th Street,07:28:18,07:28:18
Colorado Avenue and Folsom Street,07:29:38,07:29:38
Colorado Avenue and 28th Street,07:30:58,07:30:58
Colorado Avenue and 28th Street (Farside,07:31:36,07:31:36
Colorado Avenue and 30th Street,07:32:54,07:32:54
Colorado Avenue and 33rd Street,07:33:36,07:33:36
Colorado Avenue and 35th Street,07:34:49,07:34:49
Sustainable Energy and Environment Labs,07:36:42,07:36:42
Space Science,07:37:51,07:37:51
Biotech,07:38:42,07:38:42
Colorado Avenue and Innovation,07:39:24,07:39:24
Colorado Avenue and 30th Street,07:40:19,07:40:19
Colorado Avenue and 28th Street,07:41:09,07:41:09
Colorado Avenue and 26th Street,07:42:01,07:42:01
Colorado Avenue at Folsom,07:43:43,07:43:43
Balch,07:44:32,07:44:32
18th Street and Euclid Avenue,07:45:43,07:45:43
Euclid Avenue and 18th Street,07:56:09,07:56:09
Euclid Avenue and 18th Street,08:05:53,08:05:53
Colorado Avenue and 18th Street,08:06:56,08:06:56
Colorado Avenue and Folsom Street,08:08:13,08:08:13
Colorado Avenue and 28th Street,08:09:30,08:09:30
Colorado Avenue and 28th Street (Farside,08:10:06,08:10:06
Colorado Avenue and 30th Street,08:11:21,08:11:21
Colorado Avenue and 33rd Street,08:12:01,08:12:01
Colorado Avenue and 35th Street,08:13:11,08:13:11
Sustainable Energy and Environment Labs,08:14:59,08:14:59
Space Science,08:15:57,08:15:57
Biotech,08:17:11,08:17:11
Colorado Avenue and Innovation,08:17:49,08:17:49
Colorado Avenue and 30th Street,08:19:06,08:19:06
Colorado Avenue and 28th Street,08:20:09,08:20:09
Colorado Avenue and 26th Street,08:21:09,08:21:09
Colorado Avenue at Folsom,08:22:10,08:22:10
Balch,08:22:48,08:22:48
18th Street and Euclid Avenue,08:23:59,08:23:59
Euclid Avenue and 18th Street,08:24:24,08:24:24
Euclid Avenue and 18th Street,08:41:44,08:41:44
Colorado Avenue and 18th Street,08:42:53,08:42:53
Colorado Avenue and Folsom Street,08:44:11,08:44:11
Colorado Avenue and 28th Street,08:45:42,08:45:42
Colorado Avenue and 28th Street (Farside,08:46:16,08:46:16
Colorado Avenue and 30th Street,08:47:31,08:47:31
Colorado Avenue and 33rd Street,08:48:05,08:48:05
Colorado Avenue and 35th Street,08:49:04,08:49:04
Sustainable Energy and Environment Labs,08:50:32,08:50:32
Space Science,08:51:29,08:51:29
Biotech,08:52:27,08:52:27
Colorado Avenue and Innovation,08:52:57,08:52:57
Colorado Avenue and 30th Street,08:54:12,08:54:12
Colorado Avenue and 28th Street,08:54:54,08:54:54
Colorado Avenue and 26th Street,08:55:54,08:55:54
Colorado Avenue at Folsom,08:57:21,08:57:21
Balch,08:58:37,08:58:37
18th Street and Euclid Avenue,09:00:30,09:00:30
Euclid Avenue and 18th Street,09:10:26,09:10:26
Euclid Avenue and 18th Street,09:17:48,09:17:48
Colorado Avenue and 18th Street,09:18:52,09:18:52
Colorado Avenue and Folsom Street,09:20:11,09:20:11
Colorado Avenue and 28th Street,09:21:39,09:21:39
Colorado Avenue and 28th Street (Farside,09:22:15,09:22:15
Colorado Avenue and 30th Street,09:23:03,09:23:03
Colorado Avenue and 33rd Street,09:23:40,09:23:40
Colorado Avenue and 35th Street,09:24:26,09:24:26
Sustainable Energy and Environment Labs,09:25:19,09:25:19
Space Science,09:28:40,09:28:40
Biotech,09:29:43,09:29:43
Colorado Avenue and Innovation,09:30:15,09:30:15
Colorado Avenue and 30th Street,09:31:23,09:31:23
Colorado Avenue and 28th Street,09:33:13,09:33:13
Colorado Avenue and 26th Street,09:34:43,09:34:43
Colorado Avenue at Folsom,09:35:27,09:35:27
Balch,09:36:13,09:36:13
18th Street and Euclid Avenue,09:37:22,09:37:22
Euclid Avenue and 18th Street,09:43:56,09:43:56
Euclid Avenue and 18th Street,09:55:44,09:55:44
Colorado Avenue and 18th Street,09:57:25,09:57:25
Colorado Avenue and Folsom Street,09:59:06,09:59:06
Colorado Avenue and 28th Street,10:01:12,10:01:12
